name,city,state,lat,lng,price
LOVES TRAVEL STOP #594,Bidwell,OH,38.9276,-82.2701,3.849
SPEEDWAY #3424,Troy,OH,40.0387,-84.2165,3.13566666
WEIGEL'S #102,Athens,TN,35.45015,-84.59865,3.34733333
CASEYS #4411,Benton,KY,36.8806,-88.3548,3.199
SHELL,Mount Gilead,OH,40.5384,-82.8062,3.759
SHORTYS ONE STOP,Selby,SD,45.4786,-100.0541,3.089
Cenex,Blunt,SD,44.5026,-99.9463,3.1015
LOVES TRAVEL STOP #602,Box Elder,SD,44.1199,-103.0682,3.989
CIRCLE K #4705724,Paulding,OH,41.141,-84.5722,3.699
CIRCLE K #2740541,Roans Prairie,TX,30.6075,-95.9579,3.07233333
LOVLEN FOODS,Drewryville,VA,36.6854,-77.3591,3.049
Maverik Country Store #709,Williams,AZ,35.5434,-112.1707,3.219
CountryMark,Evansville,IN,37.996244,-87.570194,3.699
LOVES TRAVEL STOP #610,Baird,TX,32.3916,-99.3777,3.10733333
SUPER SAVE #4,Farmerville,LA,32.7534,-92.318,3.479
DANDY MINI MART #5,Towanda,PA,41.7638,-76.4645,3.999
7-ELEVEN #41033,Woodville,TX,30.7752,-94.4155,3.149
LOVES TRAVEL STOP #583,New Baden,IL,38.5315,-89.6922,3.849
LOVES TRAVEL STOP #619,Poplarville,MS,30.8524,-89.5648,3.17566666
CIRCLE K #2741547,Floresville,TX,29.1693,-98.1936,2.99566666
CIRCLE K #2741502,Corpus Christi,TX,27.76236,-97.434843,3.06066666
GUTHRIE TRAVEL CENTER,Guthrie,OK,35.833,-97.436,2.96566666
LOVES TRAVEL STOP #621,Bevier,MO,39.7497,-92.5619,3.439
VAN HOOK TRAVEL CENTER,New Town,ND,47.9718,-102.4716,3.56233333
KWIK TRIP #774,Adams,WI,43.8967,-89.8219,3.274
7-ELEVEN #41036,San Augustine,TX,31.5152,-94.1326,3.159
DUCK THRU FOOD STORE #42,Seaboard,NC,36.4886,-77.4113,3.299
SPRINT FOODS #728,Bennettsville,SC,34.6255,-79.6898,3.399
GOOD 2 GO #418,Mona,UT,39.8382,-111.848,3.429
MACH ONE FOOD SHOP #10,Casey,IL,39.3017,-87.9913,3.199
HANKS TRUCK STOP,Hanna,IN,41.4088,-86.7759,3.499
KWIK TRIP #245,Plainview,MN,44.1637,-92.1621,3.624
KWIK TRIP #282,Mukwonago,WI,42.8821,-88.3451,3.33733333
KWIK TRIP #777,Berlin,WI,43.9769,-88.949,3.42566666
CLARK #3121,Caro,MI,43.4833,-83.3835,3.399
KWIK TRIP #885,Abbotsford,WI,44.9641,-90.2994,3.45233333
SPEEDWAY #2908,Perryopolis,PA,40.0646,-79.7756,3.91566666
CASEYS #3319,Nevada,IA,42.019,-93.4462,2.989
CONCORD XTRAMART,Concord,NH,43.255975,-71.591825,3.659
Exxon,Fowlerville,MI,42.6614,-84.0721,3.749
CAIRO TRAVEL CENTER,Cairo,GA,30.9148,-84.208,3.424
7-ELEVEN #40802,Nixon,TX,29.3016,-97.7529,3.079
KWIK TRIP #186,Hinckley,MN,46.0189,-92.8993,3.35233333
SPEEDWAY #2120,Oswego,IL,41.6849,-88.3453,3.249
CASEYS #3424,Ellendale,MN,43.8826,-93.3195,3.499
SPEEDWAY #8796,Lansing,MI,42.723891,-84.571327,3.699
KWIK TRIP #166,Moose Lake,MN,46.4472,-92.7466,3.319
KWIK TRIP #295,Milton,WI,42.7791,-88.9531,3.399
CENEX CONVENIENCE,Detroit Lakes,MN,46.8172,-95.8453,3.499
AC & T Falling Waters,Falling Waters,WV,39.5865,-77.8852,3.849
LOVES TRAVEL STOP #537,Cumberland,MD,39.61594,-78.78068,4.249
GORES TRAVEL PLAZA,Seiling,OK,36.1278,-98.8875,3.149
BYRNE DAIRY #22,La Fayette,NY,42.891,-76.1061,4.299
LOVES TRAVEL STOP #648,Valliant,OK,34.0091,-95.0686,3.099
LOVES TRAVEL STOP #618,Sadieville,KY,38.3908,-84.5384,3.139
LAMBOS #3,Mattoon,IL,39.4802,-88.3762,3.399
FUEL CITY,Mesquite,TX,32.7636,-96.62904,2.96566666
LOVES TRAVEL STOP #654,Union City,OK,35.3913,-97.9398,3.37566666
REBEL PLUS #841,Bonita Springs,FL,26.354825,-81.777275,3.539
SPEEDWAY #8480,Plainfield,IL,41.606967,-88.2125,3.279
SPEEDWAY #4250,Des Plaines,IL,42.028825,-87.889025,3.289
SPEEDWAY #2918,Uniontown,PA,39.8897,-79.7282,3.91566666
SPEEDWAY #8133,Berea,OH,41.3676,-81.8618,3.499
One9 SPEEDWAY #2917,Monroeville,PA,40.429,-79.7623,3.99233333
LOVES TRAVEL STOP #638,Texhoma,OK,36.5253,-101.8394,3.509
